unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609909980,2021-01-06 05:13:00,BTC/USD,35337.25,35404.26,35337.25,35342.79,6.69924859,236770.1360741661
1609909920,2021-01-06 05:12:00,BTC/USD,35326.38,35399.50,35299.23,35327.22,10.23661814,361631.2610877708
1609909860,2021-01-06 05:11:00,BTC/USD,35333.69,35383.75,35299.68,35343.42,9.77454374,345465.8047111908
1609909800,2021-01-06 05:10:00,BTC/USD,35372.66,35385.76,35300.37,35327.55,4.42247120,156235.07244156
1609909740,2021-01-06 05:09:00,BTC/USD,35440.55,35440.55,35344.84,35372.66,3.70170219,130939.0529881254
1609909680,2021-01-06 05:08:00,BTC/USD,35408.65,35444.46,35375.81,35420.34,3.58028667,126814.97114886779
1609909620,2021-01-06 05:07:00,BTC/USD,35414.41,35414.41,35300.00,35329.35,11.94045204,421848.409279374
1609909560,2021-01-06 05:06:00,BTC/USD,35380.00,35428.99,35326.09,35386.40,9.77591146,345934.313288144
1609909500,2021-01-06 05:05:00,BTC/USD,35410.90,35498.26,35396.26,35405.11,11.30760602,400347.0349747622
1609909440,2021-01-06 05:04:00,BTC/USD,35568.02,35568.02,35437.32,35437.34,10.20065627,361484.12446312176
1609909380,2021-01-06 05:03:00,BTC/USD,35581.55,35604.53,35494.17,35546.17,10.14723025,360695.17149564245
1609909320,2021-01-06 05:02:00,BTC/USD,35689.00,35707.64,35580.04,35612.00,12.23007762,435537.52420344
1609909260,2021-01-06 05:01:00,BTC/USD,35555.03,35680.18,35555.03,35680.18,42.08401656,1501565.2859837809
1609909200,2021-01-06 05:00:00,BTC/USD,35488.64,35598.46,35488.64,35555.03,4.55999357,162130.70818115707
1609909140,2021-01-06 04:59:00,BTC/USD,35463.05,35476.76,35381.76,35458.50,12.84759126,455556.31469271
1609909080,2021-01-06 04:58:00,BTC/USD,35500.00,35502.17,35459.38,35471.13,4.62778469,164152.7523509997
1609909020,2021-01-06 04:57:00,BTC/USD,35614.00,35614.00,35427.79,35480.99,22.90858730,812819.356905427
1609908960,2021-01-06 04:56:00,BTC/USD,35625.16,35649.45,35570.05,35621.37,16.30325039,580744.1143448344
1609908900,2021-01-06 04:55:00,BTC/USD,35471.97,35660.84,35471.97,35623.16,55.46219053,1975738.487200675
1609908840,2021-01-06 04:54:00,BTC/USD,35551.80,35601.82,35459.77,35510.55,60.34052406,2142725.196658833
1609908780,2021-01-06 04:53:00,BTC/USD,35439.42,35600.00,35439.42,35551.81,26.93601333,957624.0280656273
1609908720,2021-01-06 04:52:00,BTC/USD,35451.63,35460.89,35394.38,35458.35,0.96305209,34148.238075451496
1609908660,2021-01-06 04:51:00,BTC/USD,35349.69,35476.62,35333.29,35424.16,16.68581297,591080.9083793553
1609908600,2021-01-06 04:50:00,BTC/USD,35360.00,35390.00,35281.10,35390.00,9.36860052,331554.7724028
1609908540,2021-01-06 04:49:00,BTC/USD,35195.71,35356.69,35175.08,35335.37,37.03937983,1308800.1908635872
1609908480,2021-01-06 04:48:00,BTC/USD,35234.38,35234.38,35192.79,35219.90,3.48786559,122842.27729324102
1609908420,2021-01-06 04:47:00,BTC/USD,35181.36,35197.57,35100.00,35197.57,108.58460046,3821914.075612882
1609908360,2021-01-06 04:46:00,BTC/USD,35247.14,35247.26,35139.68,35202.86,5.87916143,206963.2967376898
1609908300,2021-01-06 04:45:00,BTC/USD,35307.08,35307.08,35140.00,35200.05,31.87794650,1122105.310697325
1609908240,2021-01-06 04:44:00,BTC/USD,35281.97,35404.57,35281.97,35315.10,28.64244915,1011510.955977165
1609908180,2021-01-06 04:43:00,BTC/USD,35428.89,35428.89,35281.97,35329.78,7.38034864,260746.0937744992
1609908120,2021-01-06 04:42:00,BTC/USD,35392.06,35494.17,35336.33,35409.47,28.60662310,1012945.362460757
1609908060,2021-01-06 04:41:00,BTC/USD,35349.00,35436.60,35325.53,35416.75,5.05391852,178993.36874320998
1609908000,2021-01-06 04:40:00,BTC/USD,35300.60,35323.78,35254.21,35303.58,3.64325208,128619.8412664464
1609907940,2021-01-06 04:39:00,BTC/USD,35310.52,35325.28,35230.00,35325.28,13.19100547,465975.9617092816
1609907880,2021-01-06 04:38:00,BTC/USD,35349.45,35349.45,35199.24,35289.09,14.35859343,506701.6958246787
1609907820,2021-01-06 04:37:00,BTC/USD,35325.28,35397.25,35259.05,35318.07,6.16704672,217808.1877502304
1609907760,2021-01-06 04:36:00,BTC/USD,35290.60,35374.96,35290.24,35343.82,4.85233216,171499.9544432512
1609907700,2021-01-06 04:35:00,BTC/USD,35409.13,35419.99,35197.44,35302.10,7.57532723,267424.959406183
1609907640,2021-01-06 04:34:00,BTC/USD,35329.10,35409.13,35211.85,35409.13,19.02765870,673752.8405039309
1609907580,2021-01-06 04:33:00,BTC/USD,35209.48,35329.10,35059.57,35329.10,33.75765900,1192627.7105768998
1609907520,2021-01-06 04:32:00,BTC/USD,35360.75,35379.20,35029.00,35208.05,72.44491557,2550644.209634339
1609907460,2021-01-06 04:31:00,BTC/USD,35600.00,35616.32,35320.00,35398.73,52.89263149,1872331.981104008
1609907400,2021-01-06 04:30:00,BTC/USD,35618.42,35836.34,35579.40,35600.00,34.00890110,1210716.87916
1609907340,2021-01-06 04:29:00,BTC/USD,35819.96,35879.35,35619.74,35622.11,51.86064366,1847385.5531273226
1609907280,2021-01-06 04:28:00,BTC/USD,35474.68,35803.78,35445.38,35803.78,71.26525531,2551565.5227630716
1609907220,2021-01-06 04:27:00,BTC/USD,35299.64,35622.10,35291.11,35505.32,57.31904116,2035130.898478971
1609907160,2021-01-06 04:26:00,BTC/USD,35182.27,35375.19,35182.27,35289.40,36.07195313,1272957.582785822
